  * Configuratie <#!/konfiguration>
      o Touch configuraties <#!/konfiguration/touchkonfiguration>
      o Schacht configuraties <#!/konfiguration/schachtkonfiguration>
      o Design configuraties <#!/konfiguration/designkonfiguration>
      o SMX configuraties <#!/konfiguration/smxkonfiguration>
  * Automaten <#!/service/handelsgruppen?quickFinderAddress=1>
      o Zoeken <#!/service/service>
  * Productencatalogus <#!/konfiguration/produktkatalog>
      o Prijs configuratie <#!/konfiguration/preisliste>
      o Producten vervangen <#!/konfiguration/suchenersetzen>
      o Product usage <#!/konfiguration/produktverwendung>
  * Bestanden <#!/konfiguration/alleBilder>
      o Merk <#!/konfiguration/marke>
      o Productlijn gedownload van updateserver
        <#!/konfiguration/produktlinie>
  * Productgroepen <#!/konfiguration/warengruppen>
  * Statistiek <#!/statistik>
      o Tijd <#!/statistik/statistik2>
      o Product <#!/statistik/statistik3>
      o Level <#!/statistik/statistik4>
      o Uitverkocht <#!/statistik/statistik5>
      o Fout <#!/statistik/statistik6>
      o Deur openingstijden <#!/statistik/statistik7>
  * Service <#!/service/index>
      o Handleidingen <#!/service/dokumentation>

Belgique (Français)

		Weergeven afbeelding	
	OK

327 Produkt(e)

Afbeelding	Naam	Fabrikant	Hoogte	Breedte	Diepte	Inhoud	EAN	Prijs  	Mutatiedatum	ID
	AJJA BLOND RED/50G	BAT	20	72	125	50	54039285	11,50 €	01/03/2021 09:43:48	dd49458b-ca35-455f-8ea4-47dbc32a5a50
	AJJA CORSE BLUE/50G	BAT	20	72	125	50	54039292	11,50 €	15/02/2021 09:10:09	e922a69e-9b7a-4eb1-8664-bfa092405cb1
	ARIZONA FULL FLAVOR 25G	JTI	23	72	125	25	5410881193800	2,35 €	05/10/2021 11:59:37	f90fb23d-085d-94ba-b285-5e404e88310e
	AUSTIN BLUE/20	LANDEWIJCK TOBACCO BELGIUM	20	56	90	20	54501652	6,40 €	25/02/2021 12:43:48	537286bf-488e-ef38-c568-dfb9b5ac6317
	AUSTIN ICE FILTER CILLOS/20	LANDEWIJCK TOBACCO BELGIUM	20	56	80	20	5400827010445	5,80 €	27/05/2021 08:36:19	f3818b3a-a3a2-d1f9-3de3-eb7097e7ab7b
	AUSTIN RED L/24	LANDEWIJCK TOBACCO BELGIUM	24	67	90	24	5400827001566	7,00 €	30/10/2020 14:08:45	556abc34-363b-6902-9c66-0e6fdb3c6963
	AUSTIN RED SOFT 25	LANDEWIJCK TOBACCO BELGIUM	23	70	72	25	54009271	8,10 €	30/10/2020 14:09:07	7bfa63fc-2bc7-9c0e-b1ba-8aaa7cdf63fe
	AUSTIN RED/20	LANDEWIJCK TOBACCO BELGIUM	20	56	90	20	54501621	6,40 €	25/02/2021 12:32:41	b73730bd-b5c6-afec-c048-e4d2e654f2b3
	AUSTIN RED/37	TORREKENS	37	70	90	37	54009899	11,70 €	04/03/2021 09:10:57	3b748f80-50d9-cb88-d5a7-c6e942336106
	BASTOS BOX/20	ITB	22	55	72	20	4030600243855	7,50 €	05/10/2021 11:43:18	797ecf4c-f960-fe50-b3b7-2bb8e5cf368b
	BASTOS TOBACCO/50G	ITB	20	72	125	50	8710900099838	11,90 €	25/02/2021 12:33:26	24b09ab8-036c-600f-0a80-2d6e83f1b84e
	BASTOS/25	ITB	23	71	75	25	54030022	9,40 €	08/10/2021 12:35:28	b3812c78-3fee-4a6b-8a02-8b8d7fee3d10
	BENSON&HEDGES GOLD	ITB	20	60	90	20	5010175621004	8,00 €	25/02/2021 12:33:05	dab5729b-6c63-af00-5bca-0fbf415584fc
	BENSON&HEDGES SILVER	ITB	20	60	90	20	5010175702703	8,00 €	01/03/2021 09:50:48	bbd88afd-db2b-1dca-ed90-0da4d04dcf6c
